,abbr,address,buildingID,category,distance,facid,gsf,latitude,longitude,name,nsf,searchable,site,zone
182,CB,"HOWARD AVENUE, 789",415,Served By CPP or SPP,99.0,3360,43935,41.302663,-72.935079,CLINIC BLDG,0,"3360 CLINIC BLDG HOWARD AVENUE, 789  CLINIC BUILDING CB 789 HOWARD AVENUE HOWARD AVE, 789 CLINIC BLDG - CB",MED,MEDICAL
183,CLP,"COLLEGE STREET,  37-55",386,Served By CPP or SPP,99.0,3050,64471,41.302996,-72.931509,COLLEGE PLACE,0,"3050 COLLEGE PLACE COLLEGE STREET,  37-55  COLLEGE PLACE CLP 37-55 COLLEGE STREET COLLEGE ST, 37 37 COLLEGE PLACE",MED,MEDICAL
184,COLL451,"COLLEGE STREET, 451",264,Served By CPP or SPP,99.0,1955,18378,41.310136,-72.926232,"COLLEGE ST, 451",15125,"1955 COLLEGE ST, 451 COLLEGE STREET, 451 FRANKLIN HALL/THETA XI ALUMNI HALL COLLEGE STREET, 451 COLL451 451 COLLEGE STREET COLLEGE ST, 451 ",CEN,ZONE 3
185,COLL493,"COLLEGE STREET, 493",244,Served By CPP or SPP,99.0,1810,20220,41.310847,-72.925666,"COLLEGE ST, 493",14603,"1810 COLLEGE ST, 493 COLLEGE STREET, 493  COLLEGE STREET, 493 COLL493 493 COLLEGE STREET COLLEGE ST, 493 ",CEN,ZONE 3
186,CP,"CEDAR STREET, 301",383,Served By CPP or SPP,99.0,3000,20201,41.301779,-72.933291,CONGRESS PLACE,0,"3000 CONGRESS PLACE CEDAR STREET, 301 YALE PSYCHIATRIC INSTITUTE, BUILDING 1 CONGRESS PLACE CP 301 CEDAR STREET CEDAR ST, 301 YALE PSYCHIATRIC INSTITUTE, YPI1 (Congress Plac",MED,MEDICAL
187,C,"CHAPEL STREET, 1017",357,Served By CPP or SPP,99.0,2640,18543,41.308085,-72.928888,CONNECTICUT HALL,13795,"2640 CONNECTICUT HALL CHAPEL STREET, 1017 SOUTH MIDDLE COLLEGE CONNECTICUT HALL C 1017 CHAPEL STREET CHAPEL ST, 1017 CONNECTICUT HALL",CEN,ZONE 3
188,DCB,"HOWARD AVENUE, 789",406,Served By CPP or SPP,99.0,3315,22500,41.302453,-72.935721,DANA CLINIC BLDG,0,"3315 DANA CLINIC BLDG HOWARD AVENUE, 789  DANA CLINIC BUILDING DCB 789 HOWARD AVENUE HOWARD AVE, 789 DANA CLINIC BLDG - DCB",MED,MEDICAL
189,DC,"YORK STREET, 248",324,Served By CPP or SPP,99.0,2420,157488,41.310418,-72.931252,DAVENPORT COLLEGE,123243,"2420 DAVENPORT COLLEGE YORK STREET, 248  DAVENPORT COLLEGE, JOHN DC 248 YORK STREET YORK ST, 248 DAVENPORT COLLEGE - DC",CEN,ZONE 4
190,DOW,"TEMPLE STREET, 370",226,Served By CPP or SPP,99.0,1620,21355,41.311315,-72.923886,DOW HALL,16042,"1620 DOW HALL TEMPLE STREET, 370 TEMPLE ST, 370; VERNON HALL DOW HALL, CHRISTINA AND ROBERT DOW 370 TEMPLE STREET TEMPLE ST, 370 ",CEN,ZONE 2
191,DL,"HILLHOUSE AVENUE, 10",214,Served By CPP or SPP,99.0,1510,78132,41.312299,-72.924548,DUNHAM LAB,66471,"1510 DUNHAM LAB HILLHOUSE AVENUE, 10  DUNHAM LABORATORY, AUSTIN C. DL 10 HILLHOUSE AVENUE HILLHOUSE AVE, 10 DUNHAM LAB",CEN,ZONE 1
192,D,"ELM STREET, 198",350,Served By CPP or SPP,99.0,2605,43805,41.309622,-72.928056,"DURFEE HALL,BRADFORD",33654,"2605 DURFEE HALL,BRADFORD ELM STREET, 198  DURFEE HALL, BRADFORD M.C. D 198 ELM STREET ELM ST, 198 BRADFORD DURFEE HALL",CEN,ZONE 3
193,DW,"HIGH STREET, 67",362,Served By CPP or SPP,99.0,2665,18074,41.308927,-72.929303,DWIGHT HALL & CHAPEL,13907,"2665 DWIGHT HALL & CHAPEL HIGH STREET, 67 YALE COLLEGE LIBRARY DWIGHT HALL AND CHAPEL DW 67 HIGH STREET HIGH ST, 67 DWIGHT HALL &  CHAPEL - DW",CEN,ZONE 3
194,ESHD,"CEDAR STREET, 367",396,Served By CPP or SPP,99.0,3150,125640,41.304411,-72.933917,E.S. HARKNESS BLDG D,0,"3150 E.S. HARKNESS BLDG D CEDAR STREET, 367  EDWARD S. HARKNESS HALL BUILDING D ESHD 367 CEDAR STREET CEDAR ST, 367 EDWARD HARKNESS MEMORIAL DORMITORY - ESHD",MED,MEDICAL
195,EVANS,"WHITNEY AVENUE, 165",4968,Served By CPP or SPP,99.0,1152,342545,41.315074,-72.920063,EDWARD P EVANS HALL,293371,"1152 EDWARD P EVANS HALL WHITNEY AVENUE, 165  EDWARD P. EVANS HALL EVANS 165 WHITNEY AVENUE WHITNEY AVE, 165 ",CEN,
196,EAL,"WHITNEY AVENUE, 270",118,Served By CPP or SPP,99.0,1023,18824,41.319079,-72.921166,ELECTRON ACCEL. LAB,15759,"1023 ELECTRON ACCEL. LAB WHITNEY AVENUE, 270  ELECTRON ACCELERATOR LABORATORIES EAL 270 WHITNEY AVENUE WHITNEY AVE, 270 ELECTRON ACCELERATOR LAB - ELECACCLAB",CEN,ZONE 1
197,COLL459,"COLLEGE STREET, 459",266,Served By CPP or SPP,99.0,1960,0,41.310329,-72.926123,ELIZABETHAN CLUB,0,"1960 ELIZABETHAN CLUB COLLEGE STREET, 459 LEVERETT GRISWOLD HOUSE ELIZABETHAN CLUB COLL459 459 COLLEGE STREET COLLEGE ST, 459 ELIZABETHAN CLUB",CEN,ZONE 3
198,ELM143,"ELM STREET, 143",259,Served By CPP or SPP,99.0,1935,11636,41.309067,-72.925455,"ELM ST, 143",9583,"1935 ELM ST, 143 ELM STREET, 143 RALPH INGERSOLL HOUSE ELM STREET, 143 ELM143 143 ELM STREET ELM ST, 143 ",CEN,ZONE 3
199,ELM149,"ELM STREET, 149",260,Served By CPP or SPP,99.0,1940,15435,41.309182,-72.925639,"ELM ST, 149",10792,"1940 ELM ST, 149 ELM STREET, 149 JOHN PIERPONT HOUSE ELM STREET, 149 ELM149 149 ELM STREET ELM ST, 149 ",CEN,ZONE 3
200,ELM294,"ELM STREET, 294-296",318,Served By CPP or SPP,99.0,2405,8539,41.31066,-72.930282,"ELM ST, 294-296",7415,"2405 ELM ST, 294-296 ELM STREET, 294-296 ELM ST, 294-296 ELM STREET,  294-296 ELM294 294-296 ELM STREET ELM ST, 294 ",CEN,ZONE 4
201,ELM316,"ELM STREET, 316-320",315,Served By CPP or SPP,99.0,2400,15170,41.31114,-72.931728,"ELM ST, 316-320",0,"2400 ELM ST, 316-320 ELM STREET, 316-320  ELM STREET, 316-320 ELM316 316-320 ELM STREET ELM ST, 316 316 ELM",CEN,LEASED
202,ESC,"SACHEM STREET, 21",125,Served By CPP or SPP,99.0,1049,99341,41.316078,-72.921769,ENVIRONMTL SCIENCE CTR,87240,"1049 ENVIRONMTL SCIENCE CTR SACHEM STREET, 21  ENVIRONMENTAL SCIENCE CENTER, CLASS OF 54 ESC 21 SACHEM STREET SACHEM ST, 21 ENVIRONMENTAL SCIENCE CENTER",CEN,ZONE 1
203,EVN,"HILLHOUSE AVENUE, 56",164,Served By CPP or SPP,99.0,1210,12659,41.315689,-72.923332,"EVANS HALL, THOMAS M.",10154,"1210 EVANS HALL, THOMAS M. HILLHOUSE AVENUE, 56 ELIZABETH APTHORP HOUSE EVANS HALL, THOMAS MELLON EVN 56 HILLHOUSE AVENUE HILLHOUSE AVE, 56 EVANS HALL",CEN,ZONE 2
204,ES,"YORK STREET, 302",295,Served By CPP or SPP,99.0,2145,144250,41.312485,-72.930846,EZRA STILES COLLEGE,117057,"2145 EZRA STILES COLLEGE YORK STREET, 302  STILES COLLEGE, EZRA ES 302 YORK STREET YORK ST, 302 EZRA STILES COLLEGE - ES",CEN,ZONE 4
205,F,"COLLEGE STREET, 380",352,Served By CPP or SPP,99.0,2615,30353,41.309048,-72.927711,"FARNAM HALL, HENRY",22986,"2615 FARNAM HALL, HENRY COLLEGE STREET, 380  FARNAM HALL, HENRY F 380 COLLEGE STREET COLLEGE ST, 380 HENRY FARNAM HALL",CEN,ZONE 3
206,FMB,"CEDAR STREET, 310",419,Served By CPP or SPP,99.0,3385,83750,41.302207,-72.934762,FARNAM MEMORIAL BLDG,0,"3385 FARNAM MEMORIAL BLDG CEDAR STREET, 310  FARNAM MEMORIAL BUILDING FMB 310 CEDAR STREET CEDAR ST, 310 FARNAM MEMORIAL BLDG - FMB",MED,MEDICAL
207,FMPA,"HOWARD AVENUE, 789",411,Served By CPP or SPP,99.0,3340,2930,41.303029,-72.934918,FITKIN MEM. PAV. AUD.,0,"3340 FITKIN MEM. PAV. AUD. HOWARD AVENUE, 789  FITKIN MEMORIAL PAVILION  AUDITORIUM FMPA 789 HOWARD AVENUE HOWARD AVE, 789 FITKIN MEMORIAL PAVILION  AUDITORIUM - FMPA",MED,MEDICAL
208,FMP,"HOWARD AVENUE, 789",407,Served By CPP or SPP,99.0,3320,34100,41.302826,-72.935595,FITKIN MEM. PAVILION,0,"3320 FITKIN MEM. PAVILION HOWARD AVENUE, 789  FITKIN MEMORIAL PAVILION FMP 789 HOWARD AVENUE HOWARD AVE, 789 FITKIN MEMORIAL PAVILION - FMP",MED,MEDICAL
209,FND,"PROSPECT STREET, 135",162,Served By CPP or SPP,99.0,1200,13909,41.31569,-72.924257,FOUNDERS HALL,11178,"1200 FOUNDERS HALL PROSPECT STREET, 135 JOHN P. NORTON CARR HSE; YERKES LABS; PROSP. HILL DAY SCH; YALE OBSERV. FOUNDERS HALL FND 135 PROSPECT STREET PROSPECT ST, 135 ",CEN,ZONE 2
210,GB,"PARK STREET,  25",21,Served By CPP or SPP,99.0,3245,0,0.0,0.0,GRACE BLDG - RAZED,0,"3245 GRACE BLDG - RAZED PARK STREET,  25  GRACE BUILDING - RAZED GB - RAZED   ",MED,MEDICAL
211,GPSCY,"YORK STREET, 204",333,Served By CPP or SPP,99.0,2455,11274,41.309298,-72.931908,GRAD-PRO STUDENT CTR,9200,"2455 GRAD-PRO STUDENT CTR YORK STREET, 204 BETA THETA PI YORK STREET, 204 GPSCY 204 YORK STREET YORK ST, 204 GRAD-PRO STUDENT CTR - GYPSY",CEN,ZONE 4
212,GRN,"CHAPEL STREET, 1156",377,Served By CPP or SPP,99.0,2770,76390,41.308741,-72.932343,GREEN HALL,66119,"2770 GREEN HALL CHAPEL STREET, 1156 CHAPEL ST, 1156 GREEN HALL, HOLCOMBE T., JR. GRN 1156 CHAPEL STREET CHAPEL ST, 1156 HOLCOMBE GREEN HALL",CEN,ZONE 4
213,GBCC,"PROSPECT STREET, 391",4988,Served By CPP or SPP,99.0,0434,13642,41.322215,-72.921924,GREENBERG CONF CENTER,11691,"0434 GREENBERG CONF CENTER PROSPECT STREET, 391  GREENBERG CONFERENCE CENTER, MAURICE R. GBCC 391 PROSPECT STREET PROSPECT ST, 391 ",CEN,OUTSOURCE
214,HGS,"YORK STREET, 320",284,Served By CPP or SPP,99.0,2105,195442,41.31224,-72.929413,HALL OF GRAD STUDIES,156962,"2105 HALL OF GRAD STUDIES YORK STREET, 320  HALL OF GRADUATE STUDIES HGS 320 YORK STREET YORK ST, 320 HALL OF GRADUATE STUDIES - HGS",CEN,ZONE 4
215,HHH,"TEMPLE STREET, 420",225,Served By CPP or SPP,99.0,1615,64801,41.312524,-72.923042,HELEN HADLEY HALL,57322,"1615 HELEN HADLEY HALL TEMPLE STREET, 420  HADLEY HALL, HELEN MORRIS HHH 420 TEMPLE STREET TEMPLE ST, 420 HELEN HADLEY HALL MORRIS - HHH",CEN,ZONE 2
216,HENDRIE,"ELM STREET, 165",261,Served By CPP or SPP,99.0,1945,34719,41.309383,-72.926175,HENDRIE HALL,27885,"1945 HENDRIE HALL ELM STREET, 165  HENDRIE HALL HENDRIE 165 ELM STREET ELM ST, 165 HENDRIE HALL",CEN,ZONE 3
217,HLH15,"HILLHOUSE AVENUE, 15",229,Served By CPP or SPP,99.0,1635,8502,41.31241,-72.923706,"HILLHOUSE AVE,15",7009,"1635 HILLHOUSE AVE,15 HILLHOUSE AVENUE, 15 YORK HALL, ALPHA DELTA PHI HILLHOUSE AVENUE, 15 HLH15 15 HILLHOUSE AVENUE HILLHOUSE AVE, 15 ",CEN,ZONE 2
218,HLH17,"HILLHOUSE AVENUE, 17",230,Served By CPP or SPP,99.0,1640,90568,41.312781,-72.923576,"HILLHOUSE AVE,17",79638,"1640 HILLHOUSE AVE,17 HILLHOUSE AVENUE, 17 UNIVERSITY HEALTH SERVICES CENTER HILLHOUSE AVENUE, 17 HLH17 17 HILLHOUSE AVENUE HILLHOUSE AVE, 17 UNIVERSITY HEALTH SERVICES CENTER",CEN,ZONE 2
219,HLH27,"HILLHOUSE AVENUE, 27",147,Served By CPP or SPP,99.0,1120,13023,41.313684,-72.923163,"HILLHOUSE AVE,27",9096,"1120 HILLHOUSE AVE,27 HILLHOUSE AVENUE, 27 REV PROF GEORGE PARK FISHER HOUSE HILLHOUSE AVENUE, 27 HLH27 27 HILLHOUSE AVENUE HILLHOUSE AVE, 27 ",CEN,ZONE 2
220,HLH28,"HILLHOUSE AVENUE, 28",169,Served By CPP or SPP,99.0,1235,15312,41.313861,-72.923997,"HILLHOUSE AVE,28",12311,"1235 HILLHOUSE AVE,28 HILLHOUSE AVENUE, 28 CHARLES HENRY FARNAM HOUSE HILLHOUSE AVENUE, 28 HLH28 28 HILLHOUSE AVENUE HILLHOUSE AVE, 28 ",CEN,ZONE 2
221,HLH30,"HILLHOUSE AVENUE, 30",168,Served By CPP or SPP,99.0,1230,15988,41.314053,-72.923937,"HILLHOUSE AVE,30",12899,"1230 HILLHOUSE AVE,30 HILLHOUSE AVENUE, 30  HILLHOUSE AVENUE, 30 HLH30 30 HILLHOUSE AVENUE HILLHOUSE AVE, 30 ",CEN,ZONE 2
222,HLH35,"HILLHOUSE AVENUE, 35",149,Served By CPP or SPP,99.0,1130,10033,41.314187,-72.922896,"HILLHOUSE AVE,35",8123,"1130 HILLHOUSE AVE,35 HILLHOUSE AVENUE, 35 MARY PRICHARD HOUSE HILLHOUSE AVENUE, 35 HLH35 35 HILLHOUSE AVENUE HILLHOUSE AVE, 35 ",CEN,ZONE 2
223,HLH37,"HILLHOUSE AVENUE, 37",151,Served By CPP or SPP,99.0,1135,11239,41.314479,-72.922822,"HILLHOUSE AVE,37",9382,"1135 HILLHOUSE AVE,37 HILLHOUSE AVENUE, 37 JOHN S GRAVES HSE; DANIEL COIT GILMAN HSE HILLHOUSE AVENUE, 37 HLH37 37 HILLHOUSE AVENUE HILLHOUSE AVE, 37 ",CEN,ZONE 2
224,HLH38,"HILLHOUSE AVENUE, 38",167,Served By CPP or SPP,99.0,1225,17060,41.314576,-72.923746,"HILLHOUSE AVE,38",13282,"1225 HILLHOUSE AVE,38 HILLHOUSE AVENUE, 38 HENRY FOWLER ENGLISH HSE HILLHOUSE AVENUE, 38 HLH38 38 HILLHOUSE AVENUE HILLHOUSE AVE, 38 ",CEN,ZONE 2
225,HLH43,"HILLHOUSE AVENUE, 43",152,Served By CPP or SPP,99.0,1140,20739,41.314727,-72.922714,"HILLHOUSE AVE,43",16019,"1140 HILLHOUSE AVE,43 HILLHOUSE AVENUE, 43  HILLHOUSE AVENUE, 43 HLH43 43 HILLHOUSE AVENUE HILLHOUSE AVE, 43 ",CEN,ZONE 2
226,HLH46,"HILLHOUSE AVENUE, 46",166,Served By CPP or SPP,99.0,1220,12023,41.315049,-72.923594,"HILLHOUSE AVE,46",9618,"1220 HILLHOUSE AVE,46 HILLHOUSE AVENUE, 46 AARON N. SKINNER HSE; TROWBRIDGE HSE HILLHOUSE AVENUE, 46 HLH46 46 HILLHOUSE AVENUE HILLHOUSE AVE, 46 ",CEN,ZONE 2
227,HLH51,"HILLHOUSE AVENUE, 51",153,Served By CPP or SPP,99.0,1145,9950,41.315107,-72.922615,"HILLHOUSE AVE,51",8180,"1145 HILLHOUSE AVE,51 HILLHOUSE AVENUE, 51 JOHN M. GRAVES HSE; JAMES M. B. DWIGHT HSE HILLHOUSE AVENUE, 51 HLH51 51 HILLHOUSE AVENUE HILLHOUSE AVE, 51 ",CEN,ZONE 2
228,JEH,"CEDAR STREET, 315",387,Served By CPP or SPP,99.0,3100,29130,41.302059,-72.933483,HOPE MEMORIAL BLDG,0,"3100 HOPE MEMORIAL BLDG CEDAR STREET, 315  HOPE MEMORIAL BUILDING, JANE ELLEN JEH 315 CEDAR STREET CEDAR ST, 315 JANE ELLEN HOPE MEMORIAL BUILDING - JEH",MED,MEDICAL
229,HRCH,"HILLHOUSE AVENUE, 55",139,Served By CPP or SPP,99.0,1100,20921,41.31543,-72.922403,HORCHOW HALL,16485,"1100 HORCHOW HALL HILLHOUSE AVENUE, 55 PELATIAH PERIT HOUSE HORCHOW HALL HRCH 55 HILLHOUSE AVENUE HILLHOUSE AVE, 55 HORCHOW HALL",CEN,ZONE 2
230,HAG,"HOWARD AVENUE, 790",401,Served By CPP or SPP,99.0,3205,220326,41.301841,-72.936199,HOWARD AVE GARAGE,0,"3205 HOWARD AVE GARAGE HOWARD AVENUE, 790  HOWARD AVENUE GARAGE HAG 790 HOWARD AVENUE HOWARD AVE, 790 HOWARD AVENUE GARAGE",MED,MEDICAL
231,HRT,"YORK STREET,  15",412,Served By CPP or SPP,99.0,3345,36355,41.303408,-72.935088,HUNTER BLDG,0,"3345 HUNTER BLDG YORK STREET,  15  HUNTER BUILDING HRT 15 YORK STREET YORK ST,  15 HUNTER BUILDING",MED,MEDICAL
232,IR,"SACHEM STREET, 73",92,Served By CPP or SPP,99.0,0925,75969,41.316764,-72.925103,INGALLS RINK,67638,"0925 INGALLS RINK SACHEM STREET, 73  INGALLS RINK, DAVID S. IR 73 SACHEM STREET SACHEM ST, 73 INGALLS RINK",CEN,ZONE 2
233,JWG,"WHITNEY AVENUE, 260",121,Served By CPP or SPP,99.0,1035,106033,41.317413,-72.921748,J.W. GIBBS LABS,98015,"1035 J.W. GIBBS LABS WHITNEY AVENUE, 260  GIBBS LABORATORY, JOSIAH WILLARD JWG 260 WHITNEY AVENUE WHITNEY AVE, 260 J.W. GIBBS LABORATORY",CEN,ZONE 1
234,JE,"HIGH STREET, 68",344,Served By CPP or SPP,99.0,2510,122968,41.309104,-72.930527,JONATHAN EDWARDS COL,90343,"2510 JONATHAN EDWARDS COL HIGH STREET, 68  EDWARDS COLLEGE, JONATHAN JE 68 HIGH STREET HIGH ST, 68 JONATHAN EDWARDS COLLEGE - JE",CEN,ZONE 4
235,K,"HILLHOUSE AVENUE,  2",215,Served By CPP or SPP,99.0,1515,23049,41.311865,-72.924646,KIRTLAND HALL,18360,"1515 KIRTLAND HALL HILLHOUSE AVENUE,  2  KIRTLAND HALL, JARED P. K 2 HILLHOUSE AVENUE HILLHOUSE AVE,  2 KIRTLAND HALL",CEN,ZONE 2
236,KBT,"PROSPECT STREET, 219",135,Served By CPP or SPP,99.0,1080,207245,41.317218,-72.922686,KLINE BIOLOGY TOWER,179132,"1080 KLINE BIOLOGY TOWER PROSPECT STREET, 219  KLINE BIOLOGY TOWER, C. MAHLON KBT 219 PROSPECT STREET PROSPECT ST, 219 KLINE BIOLOGY TOWER - KBT",CEN,ZONE 1
237,KCL,"PROSPECT STREET, 255",137,Served By CPP or SPP,99.0,1090,79863,41.318843,-72.922714,KLINE CHEMISTRY LAB,69195,"1090 KLINE CHEMISTRY LAB PROSPECT STREET, 255  KLINE CHEMISTRY LABORATORY, C. MAHLON KCL 255 PROSPECT STREET PROSPECT ST, 255 KLINE CHEMISTRY LAB -  KCL",CEN,ZONE 1
238,KGL,"WHITNEY AVENUE, 210",122,Served By CPP or SPP,99.0,1040,118452,41.316541,-72.92106,KLINE GEOLOGY LAB,105430,"1040 KLINE GEOLOGY LAB WHITNEY AVENUE, 210  KLINE GEOLOGY LABORATORY, C. MAHLON KGL 210 WHITNEY AVENUE WHITNEY AVE, 210 KLINE GEOLOGY LAB - KGL",CEN,ZONE 1
239,KRN,"PROSPECT STREET, 195",4792,Served By CPP or SPP,99.0,1067,52635,41.316783,-72.92342,KROON HALL,41896,"1067 KROON HALL PROSPECT STREET, 195  KROON HALL KRN 195 PROSPECT STREET PROSPECT ST, 195 ",CEN,ZONE 1
240,LMP,"YORK STREET,  15",410,Served By CPP or SPP,99.0,3335,58160,41.303192,-72.935311,"LAB FOR MEDIC, PEDIAT",0,"3335 LAB FOR MEDIC, PEDIAT YORK STREET,  15  LABORATORY FOR MEDICINE AND PEDIATRICS LMP 15 YORK STREET YORK ST,  15 LAB FOR MEDICINE AND PEDIATRICS - LMP",MED,MEDICAL
241,LSOG,"CONGRESS AVENUE, 375",403,Served By CPP or SPP,99.0,3300,91774,41.301663,-72.934951,"LAB FOR SUR, OBST, GYN",0,"3300 LAB FOR SUR, OBST, GYN CONGRESS AVENUE, 375  LABORATORY FOR SURGERY, OBSTETRICS AND GYNECOLOGY LSOG 375 CONGRESS AVENUE CONGRESS AVE, 375 LAB FOR SURGERY, OBSTETRICS & GYNECOLOGY - LSOG",MED,MEDICAL
242,LEPH,"COLLEGE STREET,  60",397,Served By CPP or SPP,99.0,3155,116529,41.303706,-72.932262,"LAB OF EPIDEM, PUBHL",0,"3155 LAB OF EPIDEM, PUBHL COLLEGE STREET,  60  LABORATORY OF EPIDEMIOLOGY AND PUBLIC HEALTH LEPH 60 COLLEGE STREET COLLEGE ST,  60 LAB OF EPIDEMIOLOGY AND PUBLIC HEALTH - LEPH",MED,MEDICAL
243,LWR,"ELM STREET, 206",349,Served By CPP or SPP,99.0,2600,65410,41.309735,-72.928692,LANMAN-WRIGHT HALL,51099,"2600 LANMAN-WRIGHT HALL ELM STREET, 206  LANMAN-WRIGHT HALL LWR 206 ELM STREET ELM ST, 206 LANMAN-WRIGHT HALL",CEN,ZONE 3
244,LH,"CEDAR STREET, 310",418,Served By CPP or SPP,99.0,3380,36040,41.3019,-72.934203,LAUDER HALL,0,"3380 LAUDER HALL CEDAR STREET, 310  LAUDER HALL LH 310 CEDAR STREET CEDAR ST, 310 LAUDER HALL - LH",MED,MEDICAL
245,L,"COLLEGE STREET, 358",353,Served By CPP or SPP,99.0,2620,37139,41.308676,-72.927996,"LAWRANCE HALL,THOMAS",27343,"2620 LAWRANCE HALL,THOMAS COLLEGE STREET, 358  LAWRANCE HALL, THOMAS G. L 358 COLLEGE STREET COLLEGE ST, 358 THOMAS LAWRANCE HALL",CEN,ZONE 3
246,LOM,"HILLHOUSE AVENUE, 12",213,Served By CPP or SPP,99.0,1505,21153,41.312687,-72.924334,LEET OLIVER MEM HALL,16275,"1505 LEET OLIVER MEM HALL HILLHOUSE AVENUE, 12  LEET OLIVER MEMORIAL HALL LOM 12 HILLHOUSE AVENUE HILLHOUSE AVE, 12 LEET OLIVER MEMORIAL HALL",CEN,ZONE 2
247,LGH,"COLLEGE STREET, 435",263,Served By CPP or SPP,99.0,1950,28471,41.309852,-72.926412,LEIGH HALL,21326,"1950 LEIGH HALL COLLEGE STREET, 435 COLLEGE ST, 435/UG ADMIS/UNIV HEALTH CTR LEIGH HALL, ABBY AND MITCH LGH 435 COLLEGE STREET COLLEGE ST, 435 ABBY AND MITCH LEIGH HALL",CEN,ZONE 3
248,LC,"HIGH STREET, 63",361,Served By CPP or SPP,99.0,2660,59028,41.308569,-72.929557,LINSLY-CHITTENDEN,46119,"2660 LINSLY-CHITTENDEN HIGH STREET, 63 LINSLY HALL, CHITTENDEN HALL LINSLY CHITTENDEN HALL LC 63 HIGH STREET HIGH ST, 63 LINSLY CHITTENDEN HALL - LC",CEN,ZONE 3
249,LLCI,"YORK STREET,  15",409,Served By CPP or SPP,99.0,3330,90589,41.30319,-72.93569,LIPPARD LAB CLIN INVEST,0,"3330 LIPPARD LAB CLIN INVEST YORK STREET,  15  LIPPARD LABORATORY FOR CLINICAL INVESTIGATION LLCI 15 YORK STREET YORK ST,  15 LIPPARD LAB FOR CLINICAL INVESTIGATION - LLCI",MED,MEDICAL
250,LUCE,"HILLHOUSE AVENUE, 34",174,Served By CPP or SPP,99.0,1255,32040,41.314402,-72.924341,"LUCE HALL, HENRY R.",27387,"1255 LUCE HALL, HENRY R. HILLHOUSE AVENUE, 34  LUCE HALL, HENRY R. LUCE 34 HILLHOUSE AVENUE HILLHOUSE AVE, 34 HENRY LUCE HALL",CEN,ZONE 2
251,MHMA,"CEDAR STREET, 333",391,Served By CPP or SPP,99.0,3120,13762,41.303418,-72.933816,M.S. HARKNESS MEM AUD,0,"3120 M.S. HARKNESS MEM AUD CEDAR STREET, 333  HARKNESS MEMORIAL AUDITORIUM, MARY S. MHMA 333 CEDAR STREET CEDAR ST, 333 MAY HARKNESS MEMORIAL AUDITORIUM - MHMA",MED,MEDICAL
252,MRC,"HOWARD AVENUE, 789",408,Served By CPP or SPP,99.0,3325,27430,41.302922,-72.935719,MAGNETIC RESONANCE CTR,0,"3325 MAGNETIC RESONANCE CTR HOWARD AVENUE, 789  MAGNETIC RESONANCE CENTER MRC 789 HOWARD AVENUE HOWARD AVE, 789 MAGNETIC RESONANCE CENTER - MRC",MED,MEDICAL
253,MEC,"PROSPECT STREET,  55",4750,Served By CPP or SPP,99.0,1540,64786,41.313348,-72.924858,MALONE ENGIN CENTER,55627,"1540 MALONE ENGIN CENTER PROSPECT STREET,  55  MALONE ENGINEERING CENTER, DANIEL L. MEC 55 PROSPECT STREET PROSPECT ST,  55 ",CEN,ZONE 1
254,ML,"HILLHOUSE AVENUE,  9",228,Served By CPP or SPP,99.0,1630,68573,41.312108,-72.923669,MASON LAB,57363,"1630 MASON LAB HILLHOUSE AVENUE,  9  MASON LABORATORY ML 9 HILLHOUSE AVENUE HILLHOUSE AVE,  9 MASON LAB",CEN,ZONE 1
255,EM,"CHAPEL STREET, 1037",358,Served By CPP or SPP,99.0,2645,21747,41.30827,-72.929339,"MCCLELLAN HALL,EDWIN",17849,"2645 MCCLELLAN HALL,EDWIN CHAPEL STREET, 1037  MCCLELLAN HALL, EDWIN EM 1037 CHAPEL STREET CHAPEL ST, 1037 MCCLELLAN HALL",CEN,ZONE 3
256,MC,"YORK STREET, 304",283,Served By CPP or SPP,99.0,2100,144045,41.312639,-72.930124,MORSE COLLEGE,116151,"2100 MORSE COLLEGE YORK STREET, 304  MORSE COLLEGE, SAMUEL F. B. MC 304 YORK STREET YORK ST, 304 MORSE COLLEGE - 304 YORK - MC",CEN,ZONE 4
257,NSB,"CEDAR STREET, 333",393,Served By CPP or SPP,99.0,3130,17740,41.303611,-72.934532,NATHAN SMITH BLDG,0,"3130 NATHAN SMITH BLDG CEDAR STREET, 333  NATHAN SMITH BUILDING NSB 333 CEDAR STREET CEDAR ST, 333 NATHAN SMITH BUILDING - NSB",MED,MEDICAL
258,NIHB,"SOUTH FRONTAGE ROAD, 230",4729,Served By CPP or SPP,99.0,3180,24985,41.304207,-72.933492,"NIESON, IRVING HARRIS BLD",0,"3180 NIESON, IRVING HARRIS BLD SOUTH FRONTAGE ROAD, 230  NIESON & IRVING HARRIS BUILDING NIHB 230 SOUTH FRONTAGE ROAD S FRONTAGE RD, 230 ",MED,MEDICAL
259,OML,"PROSPECT STREET, 165",128,Served By CPP or SPP,99.0,1055,108910,41.316402,-72.923796,OSBORN MEMORIAL LAB,81854,"1055 OSBORN MEMORIAL LAB PROSPECT STREET, 165  OSBORN MEMORIAL LABORATORIES OML 165 PROSPECT STREET PROSPECT ST, 165 OSBORN MEMORIAL LAB - OML",CEN,ZONE 1
