id,abbr,address,buildingID,category,facid,gsf,latitude,longitude,name,nsf,searchable,site,zone,count
479,MANS279,"MANSFIELD STREET, 279",55,Not Served by Yale Plants,555,4848,41.322531,-72.925516,"MANSFIELD ST, 279",4110,"0555 MANSFIELD ST, 279 MANSFIELD STREET, 279  MANSFIELD STREET, 279 MANS279 279 MANSFIELD STREET MANSFIELD ST, 279 ",CEN,ZONE 2,1
480,MARSH,"PROSPECT STREET, 360",47,Not Served by Yale Plants,520,13048,41.321252,-72.923652,MARSH HALL,10456,"0520 MARSH HALL PROSPECT STREET, 360 OTHNIEL MARSH HSE MARSH HALL, OTHNIEL C. MARSH 360 PROSPECT STREET PROSPECT ST, 360 MARSH HALL-FORESTRY",CEN,ZONE 1,1
481,MBG1,"MANSFIELD STREET, 265",50,Not Served by Yale Plants,535,11235,41.321604,-72.925193,MBG GREENHOUSE 1,7694,"0535 MBG GREENHOUSE 1 MANSFIELD STREET, 265  MARSH GARDEN GREENHOUSE 1 MBG1 265 MANSFIELD STREET MANSFIELD ST, 265 MARSH BOTANICAL GARDEN GREENHOUSE 1 - MBG1",CEN,ZONE 2,1
482,MBG2,"MANSFIELD STREET, 265",52,Not Served by Yale Plants,545,2566,41.322371,-72.925239,MBG GREENHOUSE 2,2197,"0545 MBG GREENHOUSE 2 MANSFIELD STREET, 265  MARSH GARDEN GREENHOUSE 2 MBG2 265 MANSFIELD STREET MANSFIELD ST, 265 MARSH BOTANICAL GARDEN GREENHOUSE 2 - MBG2",CEN,ZONE 2,1
483,MFSC,"CLARK AVENUE, 179",4821,Not Served by Yale Plants,3900,3667,41.255831,-72.851088,MCNAY SAILING CENTER,3322,"3900 MCNAY SAILING CENTER CLARK AVENUE, 179 YALE CORIN YACHT CLUB MCNAY FAMILY SAILING CENTER MFSC 179 CLARK AVENUE CLARK AVE, 179 ",CT,OUTSOURCE,1
484,OEC,"UPPER PATTAGANSETT RD,291",466,Not Served by Yale Plants,4000,0,41.387536,-72.251918,OEC - OUTDOOR EDUC CTR,0,"4000 OEC - OUTDOOR EDUC CTR UPPER PATTAGANSETT RD,291  OUTDOOR EDUCATION CENTER OEC 291 UPPER PATTAGANSETT RD UPPER PATTAGANSETT RD, 291 OUTDOOR EDUCATION CENTER",CT,ZONE 5,1
485,PARK205,"PARK STREET, 205",337,Not Served by Yale Plants,2475,11114,41.309222,-72.93297,"PARK ST, 205",9148,"2475 PARK ST, 205 PARK STREET, 205 ALPHA CHI RHO PARK STREET, 205 PARK205 205 PARK STREET PARK ST, 205 ",CEN,ZONE 4,1
486,PROS300R,"PROSPECT STREET, 300R",67,Not Served by Yale Plants,808,1939,41.319921,-72.924078,"PROSPECT ST,300R",1552,"0808 PROSPECT ST,300R PROSPECT STREET, 300R  PROSPECT STREET, 300R PROS300R 300R PROSPECT STREET PROSPECT ST, 300R ",CEN,OUTSOURCE,1
487,PROS301,"PROSPECT STREET, 301",108,Not Served by Yale Plants,1000,12932,41.319906,-72.922811,"PROSPECT ST,301",9832,"1000 PROSPECT ST,301 PROSPECT STREET, 301 PIERCE N WELCH HSE PROSPECT STREET, 301 PROS301 301 PROSPECT STREET PROSPECT ST, 301 ",CEN,ZONE 1,1
488,PROS406,"PROSPECT STREET, 406",4823,Not Served by Yale Plants,502,11943,41.323139,-72.923755,"PROSPECT ST,406",9698,"0502 PROSPECT ST,406 PROSPECT STREET, 406 INT'L CTR; WILBUR F DAY HSE, DEAN BURTON B. TWITCHELL HSE PROSPECT STREET, 406 PROS406 406 PROSPECT STREET PROSPECT ST, 406 ",CEN,ZONE 2,1
489,PROS459,"PROSPECT STREET, 459",39,Not Served by Yale Plants,445,5520,41.324252,-72.922827,"PROSPECT ST,459",4596,"0445 PROSPECT ST,459 PROSPECT STREET, 459 YALE OBSERVATORY OFFICER'S HSE PROSPECT STREET, 459 PROS459 459 PROSPECT STREET PROSPECT ST, 459 ",CEN,ZONE 2,1
490,PSG,"PROSPECT STREET, 200",4860,Not Served by Yale Plants,924,111875,41.31791,-72.92474,PROSPECT-SACHEM GAR,106763,"0924 PROSPECT-SACHEM GAR PROSPECT STREET, 200 SCIENCE HILL PARKING GARAGE - SHPG PROSPECT-SACHEM GARAGE PSG 200 PROSPECT STREET PROSPECT ST, 200 ",CEN,ZONE 2,1
491,REESE,"CENTRAL AVENUE, 75",429,Not Served by Yale Plants,3635,6753,41.311531,-72.962137,REESE STADIUM,5442,"3635 REESE STADIUM CENTRAL AVENUE, 75  REESE STADIUM, JASON & JON REESE 75 CENTRAL AVENUE CENTRAL AVE, 75 SOCCER - LAX STADIUM",ATH,ZONE 5,1
492,ROOTHSE,"MAIN STREET, 158",478,Not Served by Yale Plants,4012,8465,0,0,"ROOT HOUSE, TIMOTHY",7106,"4012 ROOT HOUSE, TIMOTHY MAIN STREET, 158 WALPOLE APARTMENTS ROOT HOUSE, TIMOTHY ROOTHSE 158 MAIN STREET MAIN ST, 158 WALPOLE APTS",CT,ZONE 5,1
493,SACH105,"SACHEM STREET,105-115",60,Not Served by Yale Plants,710,8388,41.316245,-72.926832,"SACHEM ST,105-115",0,"0710 SACHEM ST,105-115 SACHEM STREET,105-115  SACHEM STREET, 105 - 115 SACH105 105-115 SACHEM STREET SACHEM ST, 105 105 SACH",CEN,LEASED,1
494,SARG150,"SARGENT DRIVE, 150",4730,Not Served by Yale Plants,3185,12662,41.291899,-72.921713,"SARGENT DR, 150",0,"3185 SARGENT DR, 150 SARGENT DRIVE, 150  SARGENT DRIVE, 150 SARG150 150 SARGENT DRIVE SARGENT DR, 150 ",NH,LEASED,1
495,SCIPK25,"MUNSON STREET, 150",4993,Not Served by Yale Plants,750,169427,41.321057,-72.929122,SCIENCE PARK BLDG 25,204406,"0750 SCIENCE PARK BLDG 25 MUNSON STREET, 150  SCIENCE PARK BUILDING 25 SCIPK25 150 MUNSON STREET MUNSON ST, 150 ",CEN,LEASED,1
496,SEAMCO,"CONGRESS AVENUE, 464",424,Not Served by Yale Plants,3520,102102,41.300766,-72.936067,SEAMCO BLDG,0,"3520 SEAMCO BLDG CONGRESS AVENUE, 464  SEAMCO BUILDING SEAMCO 464 CONGRESS AVENUE CONGRESS AVE, 464 SEAMCO BLDG NO. 6",MED,LEASED,1
497,SMILOW,"DERBY AVENUE, 249",430,Not Served by Yale Plants,3640,0,41.311237,-72.959817,SMILOW FIELD CENTER,0,"3640 SMILOW FIELD CENTER DERBY AVENUE, 249 OUTDOOR TENNIS COURT AREA SMILOW FIELD CENTER, JOEL E. SMILOW 249 DERBY AVENUE DERBY AVE,  249 ",ATH,ZONE 5,1
498,STRO363,"ST. RONAN STREET, 363",4743,Not Served by Yale Plants,250,0,41.325475,-72.918126,"ST. RONAN ST, 363",0,"0250 ST. RONAN ST, 363 ST. RONAN STREET, 363 JOHN EDWARD HEATON HSE ST. RONAN STREET, 363 STRO363 363 ST. RONAN STREET ST RONAN ST, 363 BERKELEY DIVINITY SCHOOL",CEN,,1
499,TEMP040,"TEMPLE STREET,  40",19,Not Served by Yale Plants,3175,66847,41.304029,-72.929221,"TEMPLE ST,  40",0,"3175 TEMPLE ST,  40 TEMPLE STREET,  40  TEMPLE STREET, 40 TEMP040 40 TEMPLE STREET TEMPLE ST, 40 ",MED,LEASED,1
500,TEMP405,"TEMPLE STREET, 405",238,Not Served by Yale Plants,1720,4911,41.31201,-72.922906,"TEMPLE ST, 405",3958,"1720 TEMPLE ST, 405 TEMPLE STREET, 405  TEMPLE STREET, 405 TEMP405 405 TEMPLE STREET TEMPLE ST, 405 ",CEN,ZONE 2,1
501,TEMP415,"TEMPLE STREET, 415",239,Not Served by Yale Plants,1725,2720,41.312221,-72.922718,"TEMPLE ST, 415",0,"1725 TEMPLE ST, 415 TEMPLE STREET, 415  TEMPLE STREET, 415 TEMP415 415 TEMPLE STREET TEMPLE ST, 415 ",CEN,LEASED,1
503,FIELDAT,"CENTRAL AVENUE, 80",447,Not Served by Yale Plants,3740,0,41.312165,-72.96453,"THOMPSON FIELD, ANTH",0,"3740 THOMPSON FIELD, ANTH CENTRAL AVENUE, 80  THOMPSON FIELD, ANTHONY FIELDAT 80 CENTRAL AVENUE CENTRAL AVE, 80 ANTHONY THOMPSON FIELD",ATH,ZONE 5,1
504,LWL,"MAIN STREET, 154",479,Not Served by Yale Plants,4013,26016,0,0,"WALPOLE LIBRARY, LEW",20375,"4013 WALPOLE LIBRARY, LEW MAIN STREET, 154  WALPOLE LIBRARY, LEWIS LWL 154 MAIN STREET MAIN ST, 154 LEWIS WALPOLE LIBRARY",CT,ZONE 5,1
505,WRNBLDG,"CHAPEL STREET, 1042-1046",1,Not Served by Yale Plants,2706,43560,41.307579,-72.929787,WARNER BLDG,0,"2706 WARNER BLDG CHAPEL STREET, 1042-1046 THE WARNER BLOCK WARNER BUILDING WRNBLDG 1042-1046 CHAPEL STREET CHAPEL ST, 1042 ",CEN,LEASED,1
610,TEMP433,"TEMPLE STREET, 433",240,Academic & Admin: Small,1730,33491,41.312602,-72.922248,"TEMPLE ST, 433/WHT68-80",28690,"1730 TEMPLE ST, 433/WHT68-80 TEMPLE STREET, 433  TEMPLE STREET, 433/WHITNEY AVE 68-80 TEMP433 433 TEMPLE STREET TEMPLE ST, 433 ",CEN,LEASED,1
670,W-WW,"WEST CAMPUS DRIVE, 250",4929,West Campus,4202,19494,0,0,WC WAREHOUSE WEST,18183,"4202 WC WAREHOUSE WEST WEST CAMPUS DRIVE, 250 WEST - D37 STORAGE WC WAREHOUSE WEST W-WW 250 WEST CAMPUS DRIVE WEST CAMPUS DR, 250 W-D37",WST,,1
510,W-WC,"WEST CAMPUS DRIVE, 100",4928,Not Served by Yale Plants,4200,643,0,0,WC WELCOME CENTER,509,"4200 WC WELCOME CENTER WEST CAMPUS DRIVE, 100 WEST - D18 WELCOME CENTER WC WELCOME CENTER W-WC 100 WEST CAMPUS DRIVE WEST CAMPUS DR, 100 W-D18",WST,,1
511,WHITAPTA,"CANNER STREET, 375-385",24,Not Served by Yale Plants,120,35766,41.325814,-72.921398,WHITEHALL APTS 375-385,31847,"0120 WHITEHALL APTS 375-385 CANNER STREET, 375-385  WHITEHALL APTS 375-385 WHITAPTA 375-385 CANNER STREET CANNER ST, 375 ",CEN,ZONE 2,1
512,WHITAPTB,"CANNER STREET, 405-407",4807,Not Served by Yale Plants,122,11907,41.326013,-72.922116,WHITEHALL APTS 405-407,10624,"0122 WHITEHALL APTS 405-407 CANNER STREET, 405-407  WHITEHALL APTS 405-407 WHITAPTB 405-407 CANNER STREET CANNER ST, 405 ",CEN,ZONE 2,1
513,WHITAPTC,"PROSPECT STREET, 511-521",4808,Not Served by Yale Plants,124,35745,41.326293,-72.921995,WHITEHALL APTS 511-521,31815,"0124 WHITEHALL APTS 511-521 PROSPECT STREET, 511-521  WHITEHALL APTS 511-521 WHITAPTC 511-521 PROSPECT STREET PROSPECT ST, 511 ",CEN,ZONE 2,1
514,WHITAPTD,"PROSPECT STREET, 533-543",4809,Not Served by Yale Plants,125,35775,41.32656,-72.921649,WHITEHALL APTS 533-543,31772,"0125 WHITEHALL APTS 533-543 PROSPECT STREET, 533-543  WHITEHALL APTS 533-543 WHITAPTD 533-543 PROSPECT STREET PROSPECT ST, 533 ",CEN,ZONE 2,1
515,WGS,"WHITNEY AVENUE,   2",233,Not Served by Yale Plants,1705,150694,41.310763,-72.92284,WHITNEY GROVE SQUARE,133425,"1705 WHITNEY GROVE SQUARE WHITNEY AVENUE,   2  WHITNEY GROVE SQUARE WGS 2 WHITNEY AVENUE WHITNEY AVE,   2 WHITNEY GROVE SQUARE - 2 WGS",CEN,OUTSOURCE,1
516,WINC182,"WINCHESTER AVENUE, 182",5010,Not Served by Yale Plants,745,0,41.319485,-72.928279,"WINCHESTER AVE, 182",0,"0745 WINCHESTER AVE, 182 WINCHESTER AVENUE, 182  WINCHESTER AVENUE, 182 LAND  WINC182 182 WINCHESTER AVENUE WINCHESTER AVE, 182 ",CEN,ZONE 2,1
517,WINC344,"WINCHESTER AVENUE, 344",5005,Not Served by Yale Plants,655,250599,41.324618,-72.929401,"WINCHESTER AVE, 344",236402,"0655 WINCHESTER AVE, 344 WINCHESTER AVENUE, 344  WINCHESTER AVENUE, 344 WINC344 344 WINCHESTER AVENUE WINCHESTER AVE, 344 ",CEN,LEASED,1
518,YALEBOWL,"CENTRAL AVENUE, 81",425,Not Served by Yale Plants,3600,28452,41.313091,-72.960451,YALE BOWL,25127,"3600 YALE BOWL CENTRAL AVENUE, 81  YALE BOWL, CLASS OF 1954 FIELD YALEBOWL 81 CENTRAL AVENUE CENTRAL AVE, 81 ",ATH,ZONE 5,1
519,YALEFLD,"DERBY AVENUE, 250",437,Not Served by Yale Plants,3710,9525,41.30924,-72.959327,YALE FIELD BASEBALL,8223,"3710 YALE FIELD BASEBALL DERBY AVENUE, 250  YALE FIELD - BASEBALL YALEFLD 250 DERBY AVENUE DERBY AVE, 250 YALE FIELD BASEBALL",ATH,ZONE 5,1
520,YTF,KEENE ROAD,4820,Not Served by Yale Plants,4700,0,0,0,YALE-TOUMEY FOREST,0,4700 YALE-TOUMEY FOREST KEENE ROAD KEENE FOREST YALE-TOUMEY FOREST YTF KEENE ROAD KEENE RD KEENE FOREST,USA,ZONE 5,1
521,YKSPL096,"YORK SQUARE PLACE, 96",205,Not Served by Yale Plants,1439,3710,41.314177,-72.929676,"YORK SQUARE PL,  96",0,"1439 YORK SQUARE PL,  96 YORK SQUARE PLACE, 96  YORK SQUARE PLACE, 96 YKSPL096 96 YORK SQUARE PLACE YORK SQ, 96 ",CEN,LEASED,1
522,YKSPL104,"YORK SQUARE PLACE,104",200,Not Served by Yale Plants,1431,3908,41.314157,-72.929725,"YORK SQUARE PL, 104",3104,"1431 YORK SQUARE PL, 104 YORK SQUARE PLACE,104  YORK SQUARE PLACE, 104 YKSPL104 104 YORK SQUARE PLACE YORK SQ,104 ",CEN,LEASED,1
523,YORK100,"YORK STREET, 100",4744,Not Served by Yale Plants,2733,15293,41.306953,-72.933233,"YORK ST, 100",0,"2733 YORK ST, 100 YORK STREET, 100  YORK STREET, 100 YORK100 100 YORK STREET YORK ST, 100 UNIVERSITY TOWERS",CEN,LEASED,1
524,YORK123,"YORK STREET, 123",4739,Not Served by Yale Plants,2736,843,41.306137,-72.93242,"YORK ST, 123 NO LONGER LEASED",0,"2736 YORK ST, 123 NO LONGER LEASED YORK STREET, 123  YORK STREET, 123 NO LONGER LEASED YORK123 CLOSED   CROWN TOWERS",CEN,LEASED,1
525,YORK129,"YORK STREET, 129",4741,Not Served by Yale Plants,2739,3140,41.306669,-72.932635,"YORK ST, 129",0,"2739 YORK ST, 129 YORK STREET, 129  YORK STREET, 129 YORK129 129 YORK STREET YORK ST, 129 ",CEN,LEASED,1
526,YORK146,"YORK STREET, 146",4997,Not Served by Yale Plants,2744,4464,41.307605,-72.932524,"YORK ST, 146",0,"2744 YORK ST, 146 YORK STREET, 146  YORK STREET, 146 YORK146 146 YORK STREET YORK ST, 146 ",CEN,ZONE 4,1
527,YORK276,"YORK STREET, 276-286",286,Not Served by Yale Plants,2110,11031,41.311213,-72.929844,"YORK ST, 276-286",0,"2110 YORK ST, 276-286 YORK STREET, 276-286  YORK STREET, 276-286 YORK276 276-286 YORK STREET YORK ST, 276 276 YORK",CEN,LEASED,1
528,YKCRWNB,"YORK STREET, 139-143",373,Not Served by Yale Plants,2740,8610,41.307441,-72.932194,YORK-CROWN APTS 139-143,6941,"2740 YORK-CROWN APTS 139-143 YORK STREET, 139-143  YORK-CROWN APTS 139-143 YKCRWNB 139-143 YORK STREET YORK ST, 139 YORKCROWN APTS #2 139-143 YORK ST",CEN,ZONE 4,1
529,YKCRWNA,"CROWN STREET, 313-319",372,Not Served by Yale Plants,2735,10817,41.307251,-72.93227,YORK-CROWN APTS 313-319,8744,"2735 YORK-CROWN APTS 313-319 CROWN STREET, 313-319  YORK-CROWN APTS 313-319 YKCRWNA 313-319 CROWN STREET CROWN ST, 313 YORKCROWN APTS #1 - 313-319 CROWN",CEN,ZONE 4,1
530,AKW,"PROSPECT STREET,  51",218,Academic & Admin: Large,1530,52634,41.313064,-72.924933,A.K. WATSON HALL,41679,"1530 A.K. WATSON HALL PROSPECT STREET,  51 SHEFFIELD CHEM LAB; SHEFFIELD LAB OF ENG. MECH. WATSON HALL, ARTHUR K. AKW 51 PROSPECT STREET PROSPECT ST,  51 A.K. WATSON HALL",CEN,ZONE 2,1
531,GRN,"CHAPEL STREET, 1156",377,Academic & Admin: Large,2770,76390,41.308741,-72.932343,GREEN HALL,66119,"2770 GREEN HALL CHAPEL STREET, 1156 CHAPEL ST, 1156 GREEN HALL, HOLCOMBE T., JR. GRN 1156 CHAPEL STREET CHAPEL ST, 1156 HOLCOMBE GREEN HALL",CEN,ZONE 4,1
532,HGS,"YORK STREET, 320",284,Academic & Admin: Large,2105,195442,41.31224,-72.929413,HALL OF GRAD STUDIES,156962,"2105 HALL OF GRAD STUDIES YORK STREET, 320  HALL OF GRADUATE STUDIES HGS 320 YORK STREET YORK ST, 320 HALL OF GRADUATE STUDIES - HGS",CEN,ZONE 4,1
533,HLH17,"HILLHOUSE AVENUE, 17",230,Academic & Admin: Large,1640,90568,41.312781,-72.923576,"HILLHOUSE AVE,17",79638,"1640 HILLHOUSE AVE,17 HILLHOUSE AVENUE, 17 UNIVERSITY HEALTH SERVICES CENTER HILLHOUSE AVENUE, 17 HLH17 17 HILLHOUSE AVENUE HILLHOUSE AVE, 17 UNIVERSITY HEALTH SERVICES CENTER",CEN,ZONE 2,1
534,IR,"SACHEM STREET, 73",92,Academic & Admin: Large,925,75969,41.316764,-72.925103,INGALLS RINK,67638,"0925 INGALLS RINK SACHEM STREET, 73  INGALLS RINK, DAVID S. IR 73 SACHEM STREET SACHEM ST, 73 INGALLS RINK",CEN,ZONE 2,1
535,KRN,"PROSPECT STREET, 195",4792,Academic & Admin: Large,1067,52635,41.316783,-72.92342,KROON HALL,41896,"1067 KROON HALL PROSPECT STREET, 195  KROON HALL KRN 195 PROSPECT STREET PROSPECT ST, 195 ",CEN,ZONE 1,1
536,LC,"HIGH STREET, 63",361,Academic & Admin: Large,2660,59028,41.308569,-72.929557,LINSLY-CHITTENDEN,46119,"2660 LINSLY-CHITTENDEN HIGH STREET, 63 LINSLY HALL, CHITTENDEN HALL LINSLY CHITTENDEN HALL LC 63 HIGH STREET HIGH ST, 63 LINSLY CHITTENDEN HALL - LC",CEN,ZONE 3,1
537,ML,"HILLHOUSE AVENUE,  9",228,Academic & Admin: Large,1630,68573,41.312108,-72.923669,MASON LAB,57363,"1630 MASON LAB HILLHOUSE AVENUE,  9  MASON LABORATORY ML 9 HILLHOUSE AVENUE HILLHOUSE AVE,  9 MASON LAB",CEN,ZONE 1,1
538,PWG,"TOWER PARKWAY, 70",206,Academic & Admin: Large,1440,535971,41.313769,-72.930945,PAYNE WHITNEY GYM,429203,"1440 PAYNE WHITNEY GYM TOWER PARKWAY, 70  WHITNEY GYMNASIUM, PAYNE PWG 70 TOWER PARKWAY TOWER PKWY, 70 PAYNE WHITNEY GYMNASIUM - PWG",CEN,ZONE 4,1
539,PSPG,"WHITNEY AVENUE, 280",114,Academic & Admin: Large,1015,206329,41.31943,-72.920275,PIERSON-SAGE GARAGE,196757,"1015 PIERSON-SAGE GARAGE WHITNEY AVENUE, 280  PIERSON - SAGE PARKING GARAGE PSPG 280 WHITNEY AVENUE WHITNEY AVE, 280 PIERSON-SAGE PARKING GARAGE - PIERSAGEPK",CEN,ZONE 1,1
540,RTH,"TOWER PARKWAY, 20",207,Academic & Admin: Large,1445,51499,41.313218,-72.931827,RAY TOMPKINS HOUSE,42235,"1445 RAY TOMPKINS HOUSE TOWER PARKWAY, 20  TOMPKINS HOUSE, RAY RTH 20 TOWER PARKWAY TOWER PKWY, 20 RAY TOMPKINS HOUSE - RTH",CEN,ZONE 4,1
541,RKZ,"PROSPECT STREET, 115",4922,Academic & Admin: Large,1261,70710,41.314669,-72.924519,ROSENKRANZ HALL,60780,"1261 ROSENKRANZ HALL PROSPECT STREET, 115  ROSENKRANZ HALL, ROBERT RKZ 115 PROPSECT STREET PROSPECT ST, 115 ",CEN,ZONE 2,1
542,SC,"GROVE STREET, 168",272,Academic & Admin: Large,2010,95259,41.311803,-72.926478,SCHWARZMAN CENTER,70546,"2010 SCHWARZMAN CENTER GROVE STREET, 168 UNIVERSITY COMMONS SCHWARZMAN CENTER SC 168 GROVE STREET GROVE ST, 168 UNIVERSITY COMMONS",CEN,ZONE 3,1
543,SSS,"PROSPECT STREET,   1",216,Academic & Admin: Large,1520,93416,41.311851,-72.925272,SHEFFD-STERL-STRATHC,73673,"1520 SHEFFD-STERL-STRATHC PROSPECT STREET,   1  SHEFFIELD STERLING STRATHCONA HALL SSS 1 PROSPECT STREET PROSPECT ST,   1 SHEFFIELD STERLING STRATHCONA HALL - SSS",CEN,ZONE 2,1
544,SPL,"PROSPECT STREET, 217",134,Academic & Admin: Large,1075,85433,41.317345,-72.923108,SLOANE PHYSICS LAB,65292,"1075 SLOANE PHYSICS LAB PROSPECT STREET, 217  SLOANE PHYSICS LABORATORY, HENRY T. & WILLIAM D. SPL 217 PROSPECT STREET PROSPECT ST, 217 SLOANE PHYSICS LAB",CEN,ZONE 1,1
545,SDQ,"PROSPECT STREET, 409",38,Academic & Admin: Large,440,160365,41.3234,-72.92169,STERLING DIV. QUAD.,133659,"0440 STERLING DIV. QUAD. PROSPECT STREET, 409  STERLING DIVINITY QUADRANGLE, JOHN W. SDQ 409 PROSPECT STREET PROSPECT ST, 409 STERLING DIVINITY QUAD - DIVQUAD",CEN,ZONE 2,1
546,SLB,"WALL STREET, 127",269,Academic & Admin: Large,2000,255687,41.312037,-72.928189,STERLING LAW BLDGS.,205622,"2000 STERLING LAW BLDGS. WALL STREET, 127  STERLING LAW BUILDINGS, JOHN W. SLB 127 WALL STREET WALL ST,127 STERLING LAW BLDG - SLB",CEN,ZONE 4,1
547,WLH,"WALL STREET, 100",277,Academic & Admin: Large,2030,52183,41.310617,-72.92687,W. L. HARKNESS HALL,41531,"2030 W. L. HARKNESS HALL WALL STREET, 100  HARKNESS HALL, WILLIAM L. WLH 100 WALL STREET WALL ST,100 WILLIAM HARKNESS HALL - WLH",CEN,ZONE 3,1
548,WHIT221,"WHITNEY AVENUE, 221",160,Academic & Admin: Large,1180,66582,41.316733,-72.919795,"WHITNEY AVE, 221",56820,"1180 WHITNEY AVE, 221 WHITNEY AVENUE, 221  WHITNEY AVENUE, 221 WHIT221 221 WHITNEY AVENUE WHITNEY AVE, 221 ",CEN,ZONE 2,1
549,WOOL,"COLLEGE STREET, 500",273,Academic & Admin: Large,2015,46148,41.31129,-72.926125,WOOLSEY HALL,36896,"2015 WOOLSEY HALL COLLEGE STREET, 500  WOOLSEY HALL WOOL 500 COLLEGE STREET COLLEGE ST, 500 WOOLSEY HALL",CEN,ZONE 3,1
550,YHC,"LOCK STREET, 55",4950,Academic & Admin: Large,1390,147006,41.315632,-72.927574,YALE HEALTH CENTER,128276,"1390 YALE HEALTH CENTER LOCK STREET, 55  YALE HEALTH CENTER YHC 55 LOCK STREET LOCK ST, 55 ",CEN,ZONE 4,1
551,YORK149,"YORK STREET, 149",374,Academic & Admin: Large,2745,58581,41.30755,-72.93193,"YORK ST, 149",53307,"2745 YORK ST, 149 YORK STREET, 149  YORK STREET, 149 YORK149 149 YORK STREET YORK ST, 149 ",CEN,ZONE 4,1
552,BATTELL,"COLLEGE STREET, 400",351,Academic & Admin: Medium,2610,28097,41.309372,-72.927515,BATTELL CHAPEL,22782,"2610 BATTELL CHAPEL COLLEGE STREET, 400  BATTELL CHAPEL, JOSEPH BATTELL 400 COLLEGE STREET COLLEGE ST, 400 JOSEPH BATTELL CHAPEL",CEN,ZONE 3,1
553,BETTS,"PROSPECT STREET, 393",36,Academic & Admin: Medium,435,21889,41.322497,-72.922121,BETTS HOUSE,17489,"0435 BETTS HOUSE PROSPECT STREET, 393 DAVIES HOUSE, JOHN M.; CULINARY INST OF AMER BETTS HOUSE BETTS 393 PROSPECT STREET PROSPECT ST, 393 BETTS HOUSE - DAVIES MANSION",CEN,OUTSOURCE,1
554,BRWY77,"BROADWAY, 77",294,Academic & Admin: Medium,2140,48281,41.311776,-72.931241,"BROADWAY, 77",0,"2140 BROADWAY, 77 BROADWAY, 77 YALE CO-OP BROADWAY, 77 BRWY77 77 BROADWAY BROADWAY, 77 77 BROAD",CEN,LEASED,1
555,CHUR246,"CHURCH STREET, 246",248,Academic & Admin: Medium,1835,32625,41.310002,-72.923337,"CHURCH ST, 246",28560,"1835 CHURCH ST, 246 CHURCH STREET, 246  CHURCH STREET, 246 CHUR246 246 CHURCH STREET CHURCH ST, 246 ",CEN,ZONE 3,1
556,COLL451,"COLLEGE STREET, 451",264,Academic & Admin: Medium,1955,18378,41.310136,-72.926232,"COLLEGE ST, 451",15125,"1955 COLLEGE ST, 451 COLLEGE STREET, 451 FRANKLIN HALL/THETA XI ALUMNI HALL COLLEGE STREET, 451 COLL451 451 COLLEGE STREET COLLEGE ST, 451 ",CEN,ZONE 3,1
557,COLL493,"COLLEGE STREET, 493",244,Academic & Admin: Medium,1810,20220,41.310847,-72.925666,"COLLEGE ST, 493",14603,"1810 COLLEGE ST, 493 COLLEGE STREET, 493  COLLEGE STREET, 493 COLL493 493 COLLEGE STREET COLLEGE ST, 493 ",CEN,ZONE 3,1
558,C,"CHAPEL STREET, 1017",357,Academic & Admin: Medium,2640,18543,41.308085,-72.928888,CONNECTICUT HALL,13795,"2640 CONNECTICUT HALL CHAPEL STREET, 1017 SOUTH MIDDLE COLLEGE CONNECTICUT HALL C 1017 CHAPEL STREET CHAPEL ST, 1017 CONNECTICUT HALL",CEN,ZONE 3,1
559,DOW,"TEMPLE STREET, 370",226,Academic & Admin: Medium,1620,21355,41.311315,-72.923886,DOW HALL,16042,"1620 DOW HALL TEMPLE STREET, 370 TEMPLE ST, 370; VERNON HALL DOW HALL, CHRISTINA AND ROBERT DOW 370 TEMPLE STREET TEMPLE ST, 370 ",CEN,ZONE 2,1
560,DW,"HIGH STREET, 67",362,Academic & Admin: Medium,2665,18074,41.308927,-72.929303,DWIGHT HALL & CHAPEL,13907,"2665 DWIGHT HALL & CHAPEL HIGH STREET, 67 YALE COLLEGE LIBRARY DWIGHT HALL AND CHAPEL DW 67 HIGH STREET HIGH ST, 67 DWIGHT HALL &  CHAPEL - DW",CEN,ZONE 3,1
561,ELM149,"ELM STREET, 149",260,Academic & Admin: Medium,1940,15435,41.309182,-72.925639,"ELM ST, 149",10792,"1940 ELM ST, 149 ELM STREET, 149 JOHN PIERPONT HOUSE ELM STREET, 149 ELM149 149 ELM STREET ELM ST, 149 ",CEN,ZONE 3,1
562,HENDRIE,"ELM STREET, 165",261,Academic & Admin: Medium,1945,34719,41.309383,-72.926175,HENDRIE HALL,27885,"1945 HENDRIE HALL ELM STREET, 165  HENDRIE HALL HENDRIE 165 ELM STREET ELM ST, 165 HENDRIE HALL",CEN,ZONE 3,1
563,HLH28,"HILLHOUSE AVENUE, 28",169,Academic & Admin: Medium,1235,15312,41.313861,-72.923997,"HILLHOUSE AVE,28",12311,"1235 HILLHOUSE AVE,28 HILLHOUSE AVENUE, 28 CHARLES HENRY FARNAM HOUSE HILLHOUSE AVENUE, 28 HLH28 28 HILLHOUSE AVENUE HILLHOUSE AVE, 28 ",CEN,ZONE 2,1
